IAM Acronym,Bank Acronym,IAM id,Year Filed,Case Name,Global Region (1),Global Region (2),Country,External ID,Date Filed,Month Closed,Year Closed,Still open as of 12/31/15?,Status as of 12/31/15,Results achieved by 12/31/15?,Type of Filer (1),Type of Filer (2),Type of Filer (3),Filer Name(s) if organization,Other groups supporting complaint?,Type of Supporting Organization(s) (1),Type of Supporting Organization(s) (2),Name of supporting organization(s),Type of IFI Support (1),Type of IFI Support (2),Sector/Industry (1),Sector/Industry (2),Public or private?,Issue Raised (1),Issue Raised (2),Issue Raised (3),Issue Raised (4),Issue Raised (5),Issue Raised (6),Issue Raised (7),Issue Raised (8),Issue Raised (9),Issue Raised (10),Is Registered,Date Registered,Is Eligible,Date determined eligible,If no Eligibility why 1,If no Eligibility why 2,If no Eligibility why 3,If no Eligibility why 4,Problem-Solving initiated,Date PS initiated,Duration of PS (months),If no Dispute Resolution why,Settlement reached in PS?,Compliance Review initiated,Date CR initiated,Duration of CR (months),If no Compliance Review why,Was non-compliance found?,Was a management action plan produced?,Monitoring initiated,Date monitoring initiated,Duration of monitoring (months),If no Monitoring why,Duration from filing until case closed or monitoring started,"If closed as of 12/31/15, duration of process in months",Was a compliance report published,Who inputted data?
CAO,IFC,21,2006,AEF Lesiolo Grain Handlers Limited-01/Nakuru,Sub-Saharan Africa,N/A,Kenya,no_id_21_20,4/1/06,4,2006,No,Closed without results,No,Corporation(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,Unknown,Manufacturing,N/A,Private,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Not within mechanism's mandate,Mechanism forwarded complaint to management,N/A,N/A,No,Unknown,Unknown,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
CAO,IFC,21,2006,Gender Discrimination,East Asia & the Pacific,N/A,Southeast Asia,no_id_21_21,5/1/06,5,2006,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
CAO,IFC,21,2006,Atul Ltd.-01/Gujarat,South Asia,N/A,India,97,6/1/06,6,2007,No,Closed with results,Yes,Domestic CSO(s),N/A,N/A,Brackish Water Research Information,Unknown,Unknown,Unknown,Unknown,Equity Investment,Project/investment lending,Chemicals,Manufacturing,Private,Consultation and disclosure,Pollution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,Unknown,Unknown,N/A,Yes,No,N/A,N/A,"Case settled in PS, so CR not offered",N/A,N/A,Yes,Unknown,Unknown,N/A,Unknown,12,N/A,
CAO,IFC,21,2006,BTC Pipeline-27/Tbilisi,Europe & Central Asia,N/A,Georgia,68,6/15/06,4,2007,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Displacement (physical and/or economic),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,No,N/A,N/A,MNE or government refused to participate,N/A,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,10,10,N/A,
CAO,IFC,21,2006,Cencosud,Latin America & the Caribbean,N/A,Argentina,no_id_21_22,6/1/06,7,2006,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
CAO,IFC,21,2006,BTC Pipeline-28/Adana & Ceyhan,Europe & Central Asia,N/A,Turkey,69,7/6/06,2,2007,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Society for the Protection of the Environment and Consumer,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Livelihoods,Other environmental,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,9/1/06,3,N/A,No,No,N/A,N/A,Mech not able to contact complainant,N/A,N/A,No,N/A,N/A,Case closed before monitoring,7,7,N/A,
CAO,IFC,21,2006,Los Gigantes-Dioxitek,Latin America & the Caribbean,N/A,Argentina,no_id_21_23,7/1/06,8,2006,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
CAO,IFC,21,2006,GEF Streetlight,Latin America & the Caribbean,N/A,Argentina,no_id_21_24,7/1/06,8,2006,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
CAO,IFC,21,2006,BTC Pipeline-29/Tsalka,Europe & Central Asia,N/A,Georgia,70,8/3/06,7,2007,No,Closed with results,Yes,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Displacement (physical and/or economic),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,Unknown,Unknown,N/A,Yes,No,N/A,N/A,"Case settled in PS, so CR not offered",N/A,N/A,Yes,5/1/07,2,N/A,9,11,N/A,
CAO,IFC,21,2006,Microfinance Investment Vehicles,North America,N/A,United States,no_id_21_25,10/1/06,10,2006,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
CAO,IFC,21,2006,Kayogbo Youth Club,Sub-Saharan Africa,N/A,Ghana,no_id_21_26,10/1/06,11,2006,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
CAO,IFC,21,2006,Mahindra Farm Services_„_01/Confidential,South Asia,N/A,India,99,10/23/06,2,2008,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Equity Investment,N/A,Agribusiness,N/A,Private,Livelihoods,Other environmental,Consultation and disclosure,Pollution,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,7/31/07,8,N/A,No,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,20,20,N/A,
CAO,IFC,21,2006,Mahindra Farm Services_„_02/Confidential,South Asia,N/A,India,99,10/26/06,2,2008,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Equity Investment,N/A,Agribusiness,N/A,Private,Livelihoods,Other environmental,Consultation and disclosure,Pollution,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,7/31/07,8,N/A,No,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,20,20,N/A,
CAO,IFC,21,2006,Tecnosul-01/Ica,Latin America & the Caribbean,N/A,Peru,no_id_21_27,11/1/06,1,2007,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,No IFI involvement,N/A,Chemicals,N/A,Private,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,DFI not financing project,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,2,2,N/A,
CAO,IFC,21,2007,ABCI Investments,Europe & Central Asia,N/A,Netherlands,no_id_21_28,1/1/07,1,2007,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
CAO,IFC,21,2007,Mahindra Farm Services_„_03/Confidential,South Asia,N/A,India,99,2/6/07,2,2008,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Equity Investment,N/A,Agribusiness,N/A,Private,Livelihoods,Other environmental,Consultation and disclosure,Pollution,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,7/31/07,8,N/A,No,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,12,12,N/A,
CAO,IFC,21,2007,National Land Claims,Sub-Saharan Africa,N/A,Ethiopia,no_id_21_29,2/1/07,2,2007,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
CAO,IFC,21,2007,Mahindra Farm Services_„_04/Confidential,South Asia,N/A,India,99,3/4/07,2,2008,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Equity Investment,N/A,Agribusiness,N/A,Private,Livelihoods,Other environmental,Consultation and disclosure,Pollution,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,7/31/07,8,N/A,No,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,11,11,N/A,
CAO,IFC,21,2007,Lukoil Overseas-02/Berezovka,Europe & Central Asia,N/A,Kazakhstan,105,4/1/07,1,2008,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Green Salvation Ecological Society,Yes,International CSO(s),N/A,Crude Accountability,Project/investment lending,N/A,"Extractives (oil, gas, mining)",N/A,Private,Other environmental,Other community health and safety issues,Pollution,Due diligence,Displacement (physical and/or economic),N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5/2/07,N/A,N/A,N/A,N/A,No,N/A,N/A,Both complainants and MNE or government involved refused to go through PS,N/A,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,9,9,N/A,
CAO,IFC,21,2007,GAL,Middle East & North Africa,N/A,Middle East,no_id_21_30,5/1/07,7,2007,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,2,2,N/A,
CAO,IFC,21,2007,Wilmar Group-01/West Kalimantan,East Asia & the Pacific,N/A,Indonesia,76,7/1/07,6,2014,No,Closed with results,Yes,Domestic CSO(s),International CSO(s),Individual(s),"Forest Peoples' Programme, Friends of the Earth Netherlands, HuMA, ELSAM , SawitWatch, SPKS  Save Our Borneo, KONTAK Rakyat Borneo, Badan Pengurus PADI, Oxfam International, Both ENDS, SETARA Jambi, Environment Defense, Friends of the Earth Indonesia - Walhi Kalimantan Barat, International Campaign for Ecological Justice in Indonesia, Ugandese National Association of Professional Environmentalists (NAPE), Community Alliance for Pulp Paper Advocacy, Hakiki Foundation",Unknown,Unknown,Unknown,Unknown,Project/investment lending,Risk Guarantee,Agribusiness,N/A,Private,Other environmental,Due diligence,Indigenous peoples,Displacement (physical and/or economic),Consultation and disclosure,Other retaliation (actual or feared),Livelihoods,Other,Biodiversity,Violence against the community (by gov't and/or company),N/A,N/A,Yes,7/27/07,N/A,N/A,N/A,N/A,Yes,11/1/07,12,N/A,Yes,Yes,9/1/08,11,N/A,Yes,Yes,Yes,9/1/08,57,N/A,14,85,Yes,
CAO,IFC,21,2007,BTC Pipeline-30/Vale,Europe & Central Asia,N/A,Georgia,71,8/20/07,10,2009,No,Closed with results,Yes,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Displacement (physical and/or economic),Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,Unknown,Unknown,N/A,Yes,No,N/A,N/A,"Case settled in PS, so CR not offered",N/A,N/A,Yes,6/1/09,4,N/A,22,26,N/A,
CAO,IFC,21,2007,Globalbix,Latin America & the Caribbean,N/A,Brazil,no_id_21_96,8/1/07,9,2007,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
CAO,IFC,21,2007,Pakistan Banking,South Asia,N/A,South Asia,no_id_21_31,9/1/07,10,2007,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
CAO,IFC,21,2007,Russkiy Mir II-01/Taman,Europe & Central Asia,N/A,Russia,86,10/1/07,10,2009,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Save Taman! and North Caucasus Environmental Watch,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,"Extractives (oil, gas, mining)",Private,Due diligence,Other environmental,Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/1/07,N/A,N/A,N/A,N/A,No,N/A,N/A,Complainant chose not to have PS,N/A,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,24,24,N/A,
CAO,IFC,21,2007,Ramky-03/Gummidipoondi,South Asia,N/A,India,100,10/19/07,6,2008,No,Closed without results,No,Domestic CSO(s),Individual(s),N/A,Corporate Accountability Desk,Unknown,Unknown,Unknown,Unknown,Equity Investment,N/A,Infrastructure,N/A,Private,Consultation and disclosure,Due diligence,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/14/07,N/A,N/A,N/A,N/A,No,N/A,N/A,IAM deemed unnecessary or inappropriate,N/A,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,8,8,N/A,
CAO,IFC,21,2007,IFC/BICF Employment,South Asia,N/A,Bangladesh,no_id_21_32,12/1/07,2,2008,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,2,2,N/A,
CAO,IFC,21,2008,Interagua-01/Guayaquil,Latin America & the Caribbean,N/A,Ecuador,84,1/1/08,1,2011,No,Closed with results,Yes,Domestic CSO(s),Individual(s),N/A,Asociacion Movimiento Mi Cometa and the Observatorio Ciudadano de Servicios Publicos,Yes,International CSO(s),N/A,International Accountability Project,Risk Guarantee,N/A,Infrastructure,N/A,Private,Water,Pollution,Other community health and safety issues,Consultation and disclosure,Human rights,Other,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/22/08,N/A,N/A,N/A,N/A,Yes,10/1/08,21,N/A,Yes,No,N/A,N/A,"Case settled in PS, so CR not offered",N/A,N/A,Yes,7/1/10,3,N/A,30,36,N/A,
CAO,IFC,21,2008,Digicel,East Asia & the Pacific,N/A,Papua New Guinea,no_id_21_33,1/1/08,1,2008,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
CAO,IFC,21,2008,Russkiy Mir II-02/Taman,Europe & Central Asia,N/A,Russia,87,2/1/08,10,2009,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Yes,Domestic CSO(s),N/A,Save Taman!,Project/investment lending,N/A,Infrastructure,"Extractives (oil, gas, mining)",Private,Other community health and safety issues,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,Unknown,Unknown,N/A,No,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,20,20,N/A,
CAO,IFC,21,2008,Pan African Paper-01/Webuye,Sub-Saharan Africa,N/A,Kenya,83,2/1/08,12,2009,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Resource Conflict Institute (RECONCILE) and Center for Environmental and Development Education Programs,Unknown,Unknown,Unknown,Unknown,Equity Investment,Project/investment lending,Manufacturing,N/A,Private,Pollution,Other community health and safety issues,Consultation and disclosure,Water,Human rights,Property damage,Livelihoods,N/A,N/A,N/A,N/A,N/A,Yes,3/1/08,N/A,N/A,N/A,N/A,Yes,Unknown,Unknown,N/A,No,No,N/A,N/A,IFI funding or consideration of project ended,N/A,N/A,No,N/A,N/A,Case closed before monitoring,22,22,N/A,
CAO,IFC,21,2008,BTC Pipeline-31/Naokhrebi,Europe & Central Asia,N/A,Georgia,72,2/28/08,11,2008,No,Closed without results,No,Local community-based organization(s),Individual(s),N/A,Pobresi,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Displacement (physical and/or economic),Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,3/5/08,N/A,N/A,N/A,N/A,No,N/A,N/A,MNE or government refused to participate,N/A,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,9,9,N/A,
CAO,IFC,21,2008,Nicaragua Sugar Estates Limited-01/LeÍ_n and Chinandega,Latin America & the Caribbean,N/A,Nicaragua,82,3/1/08,8,2015,No,Closed with results,Yes,Domestic CSO(s),Individual(s),International CSO(s),"ASOCHIVIDA, CIEL",Yes,International CSO(s),N/A,SOMO,Project/investment lending,N/A,Agribusiness,N/A,Private,Other community health and safety issues,Pollution,Labor,Displacement (physical and/or economic),Indigenous peoples,Water,Human rights,Livelihoods,N/A,N/A,N/A,N/A,Yes,4/18/08,N/A,N/A,N/A,N/A,Yes,12/1/08,48,N/A,Yes,No,N/A,N/A,"Case settled in PS, so CR not offered",N/A,N/A,Yes,6/28/12,38,N/A,51,89,N/A,
CAO,IFC,21,2008,Sinchi Wayra (formerly COMSUR),Latin America & the Caribbean,N/A,Bolivia,no_id_21_34,3/1/08,5,2008,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,2,2,N/A,
CAO,IFC,21,2008,Lukoil Overseas-03/Berezovka,Europe & Central Asia,N/A,Kazakhstan,74,5/1/08,10,2009,No,Closed without results,No,Domestic CSO(s),International CSO(s),N/A,Crude Accountability and Green Salvation Ecological Society,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",N/A,Private,Other environmental,Displacement (physical and/or economic),Other community health and safety issues,Due diligence,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,No,N/A,N/A,Complainant chose not to have PS,N/A,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,17,17,N/A,
CAO,IFC,21,2008,Alterra,Latin America & the Caribbean,N/A,Costa Rica,no_id_21_35,5/1/08,5,2008,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Not within mechanism's mandate,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
CAO,IFC,21,2008,Compania Minera Antamina S.A.-03/Huarmey,Latin America & the Caribbean,N/A,Peru,109,6/1/08,9,2008,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Federation of Fishery Captains and Employers of Peru,Unknown,Unknown,Unknown,Unknown,Risk Guarantee,N/A,"Extractives (oil, gas, mining)",N/A,Private,Pollution,Water,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Mech doesn't offer PS, or PS was not an option in this case",N/A,No,N/A,N/A,Rejected at appraisal or similar,N/A,N/A,No,N/A,N/A,Case closed before monitoring,3,3,N/A,
CAO,IFC,21,2008,Ambuklao-Binga Hydroelectric Power-01/Binga,East Asia & the Pacific,N/A,Philippines,85,6/1/08,6,2010,No,Closed with results,Yes,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Energy,Infrastructure,Private,Displacement (physical and/or economic),Indigenous peoples,Livelihoods,Labor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,7/1/08,N/A,N/A,N/A,N/A,Yes,7/30/08,10,N/A,Yes,No,N/A,N/A,"Case settled in PS, so CR not offered",N/A,N/A,Yes,5/1/09,12,N/A,11,24,N/A,
CAO,IFC,21,2008,Konkola Copper Mines Plc (KCM)-02/ Kawama,Sub-Saharan Africa,N/A,Zambia,no_id_21_36,6/1/08,6,2008,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Equity Investment,N/A,"Extractives (oil, gas, mining)",N/A,Private,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,N/A,N/A,No,N/A,Unknown,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
CAO,IFC,21,2008,BTC Pipeline-32/Vale,Europe & Central Asia,N/A,Georgia,73,8/1/08,10,2009,No,Closed with results,Yes,Domestic CSO(s),Individual(s),N/A,Georgian Young Lawyers Association,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,"Extractives (oil, gas, mining)",Infrastructure,Private,Displacement (physical and/or economic),Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Unknown,N/A,N/A,N/A,N/A,Yes,Unknown,Unknown,N/A,Yes,No,N/A,N/A,"Case settled in PS, so CR not offered",N/A,N/A,Yes,Unknown,Unknown,N/A,Unknown,14,N/A,
