Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Compliance Report Issued,Non-Compliance Found,Filing Date,Registration Start,Registration End,Registration Status,"If no Registration, why?",Eligibility Start,Eligibility End,Eligibility Status,"If No Eligibility, Why?",Dispute Resolution Start,Dispute Resolution End,Dispute Resolution Status,"If No DR, Why?",Compliance Review Start,Compliance Review End,Compliance Review Status,"If No CR, Why?",Monitoring Start,Monitoring End,Monitoring Status,"If No Monitoring, Why?",Date Closed,Access to electricity (% of population),Agricultural land (% of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Renewable internal freshwater resources per capita (cubic meters),GDP per capita (current US$),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Literacy rate, adult total (% of people ages 15 and above)",Net ODA received per capita (current US$),Population density (people per sq. km of land area),Rural population (% of total population),Surface area (sq. km),Terrestrial and marine protected areas (% of total territorial area)
Estrada Nova Watershed Sanitation Program (PROMABEN),Estrada Nova Watershed Sanitation Program (PROMABEN),Brazil,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-BR-2014-083,Closed Without Results,,,Other,Other,,FALSE,FALSE,9/1/14,9/1/14,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,99.650247,33.81003429,11.31905415,59.16651312,27721.0379,12026.61939,52.85900116,75.65899658,91.72943115,4.476450591,24.43284427,14.508,8515770,
Estrada Nova Watershed Sanitation Program - PROMABEN,Estrada Nova Watershed Sanitation Program - PROMABEN,Brazil,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-BR-2012-038,Closed Without Results,,,Other,Other,,FALSE,FALSE,2/1/12,2/1/12,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,99.519494,32.97468097,11.21168102,59.40197221,28225.82895,12291.46685,53.07699966,76.24299622,91.33785248,6.424679321,23.995887,15.077,8515770,
Estrada Real - Network of Tourism SMEs Mina Gerais State,Estrada Real - Network of Tourism SMEs Mina Gerais State,Brazil,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-BR-2012-043,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/12,7/1/12,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,99.519494,32.97468097,11.21168102,59.40197221,28225.82895,12291.46685,53.07699966,76.24299622,91.33785248,6.424679321,23.995887,15.077,8515770,
Etileno XXI,Etileno XXI,Mexico,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-ME-2013-073,Closed Without Results,,,Other,Other,,FALSE,FALSE,11/1/13,11/1/13,,closed_without_outcome,,,,not_undertaken,"Good faith requirement not met, Not desired by complainant, Outside of mandate",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,99.74873352,54.89081509,20.75377098,34.06630829,,10400.56311,44.56499863,79.68199921,93.96285248,4.589591159,63.03452712,21.301,1964380,
Etileno XXI 2,Etileno XXI,Mexico,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-ME-2014-080,Closed Without Results,,Project/investment lending,Chemicals,"Labor, Other community health and safety issues, Other gender-related issues",,FALSE,FALSE,4/29/14,4/29/14,5/12/14,closed_with_outcome,,5/12/14,6/30/14,closed_without_outcome,"Good faith requirement not met, Outside of mandate, Not desired by complainant, Outside of mandate",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Complaint withdrawn,,,not_undertaken,Case closed in earlier stage,6/30/14,99.172928,54.89081509,20.45820491,34.01918774,3292.503075,10580.97247,43.56000137,79.45899963,94.55587769,6.559970247,63.90164356,21.007,1964380,
Eurasia Tunnel,Eurasia Tunnel,Turkey,EIB Complaints Mechanism,European Investment Bank,SG/E/2011/10,Closed Without Results,,Project/investment lending,Infrastructure,Due diligence,,FALSE,FALSE,5/27/11,5/27/11,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Actor(s) involved refused to participate,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,9/30/12,99.91078186,49.69530814,32.1457016,14.6893962,,11340.82362,28.3220005,70.52100372,94.10608673,44.79354873,95.38278783,28.598,785350,
Excellon Resources: La Platosa mine project (2011-01-MEX),Excellon Resources: La Platosa mine project (2011-01-MEX),Mexico,COES Corporate Social Responsibility Counsellor,Canadian Office of the Extractive Sector,2011-01-MEX,Closed Without Results,,,"Extractives (oil, gas, mining)","Human rights, Labor, Other community health and safety issues, Violence against the community (by gov't and/or company)",,FALSE,FALSE,4/7/11,4/7/11,4/11/11,closed_with_outcome,,4/11/11,4/14/11,closed_with_outcome,,,,not_undertaken,Actor(s) involved refused to participate,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,10/31/11,99.24835968,54.89081509,20.5489458,34.1605494,,9912.582043,43.50099945,79.84400177,93.51998138,8.171717702,61.26187248,21.889,1964380,
Export Development Project (not registered),Export Development Project (not registered),Kenya,WB Inspection Panel,World Bank,59,Closed Without Results,,Project/investment lending,Manufacturing,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Water",,FALSE,FALSE,4/21/09,4/21/09,8/31/09,closed_without_outcome,,,,not_undertaken,Funding and/or consideration ended,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,8/31/09,23,47.94075271,,7.367958674,,920.0816252,61.2840004,70.54699707,,44.29930072,70.69825351,76.817,580370,
Expressway (E35) Project - PAK,Expressway (E35) Project - PAK,Pakistan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_7,Closed Without Results,,,Other,Other,,FALSE,FALSE,9/19/12,9/19/12,9/20/12,closed_with_outcome,,9/20/12,10/31/12,closed_without_outcome,Forwarded to other body within bank,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,10/31/12,92.89678955,46.78160025,63.30603941,2.07684724,309.1424096,1261.208967,22.34900093,80.21399689,56.76433945,11.33939979,230.7901788,64.592,796100,
Faisalabad-Multan Motorway (M-4),Faisalabad-Multan Motorway (M-4),Pakistan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_13,Closed Without Results,,,Other,Other,,FALSE,FALSE,1/23/13,1/23/13,1/24/13,closed_with_outcome,,1/24/13,2/28/13,closed_without_outcome,Forwarded to other body within bank,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,2/28/13,93.6,47.06309672,64.29146493,2.021066833,,1272.441061,22.62199974,80.67199707,55.59498978,12.07659821,235.7209877,64.387,796100,
Ficohsa-01/ CAO Vice President Request,Ficohsa-01/ CAO Vice President Request,Honduras,IFC Compliance Advisor/Ombudsman,IFC/MIGA,209,Monitoring,,"Equity Investment, Project/investment lending",Other,Due diligence,,TRUE,TRUE,8/21/13,,,not_undertaken,,8/21/13,,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,12/4/13,8/4/14,closed_with_outcome,,11/8/14,,in_progress,,,87.184881,28.9123246,36.93455995,43.18527125,,2136.771718,43.67599869,83.91699982,85.4644165,72.28985243,77.37764769,46.142,112490,
Ficohsa-02/Tela,Ficohsa-02/Tela,Honduras,IFC Compliance Advisor/Ombudsman,IFC/MIGA,243,Active,,"Equity Investment, Financial intermediary",Other,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Livelihoods, Other environmental",,FALSE,FALSE,10/9/15,,,not_undertaken,,,,,,,,,,,,,,,,,,,89.98171,28.9123246,29.80712654,41.04030744,,2341.27532,50.29299927,85.90000153,87.90682983,60.32031188,80.08605774,44.835,112490,
Fier Bypass,Fier Bypass,Albania,EIB Complaints Mechanism,European Investment Bank,SG/E/2014/06,Active,,Project/investment lending,Infrastructure,Displacement (physical and/or economic),,FALSE,FALSE,6/17/14,6/17/14,,closed_with_outcome,,,7/2/14,closed_with_outcome,,,,,,,,,,,,,,,100,42.85729927,16.74886183,28.1919708,9310.845162,4578.666728,44.78900146,63.88199997,,97.32083026,105.4417518,43.577,28750,
Financial Intermediaries-01/CAO Vice President Request,Financial Intermediaries-01/CAO Vice President Request,World,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_56,Monitoring,,Financial intermediary,Other,"Consultation and disclosure, Due diligence",,TRUE,TRUE,4/1/11,,,not_undertaken,,4/1/11,,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,,,closed_with_outcome,,,,in_progress,,,82.50277472,37.34972002,41.84501101,30.92641109,,10448.68227,49.13256401,76.01343562,84.59739,20.19860639,54.06958705,47.88357977,134329501.8,
Financial Intermediary (FI)-01,Financial Intermediary (FI)-01,Honduras,IFC Compliance Advisor/Ombudsman,IFC/MIGA,231,Closed Without Results,,Project/investment lending,"Agribusiness, Other","Displacement (physical and/or economic), Human rights, Pollution, Violence against the community (by gov't and/or company)",,FALSE,FALSE,7/25/14,,,not_undertaken,,7/25/14,10/1/14,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,3/31/15,88.653773,28.9123246,37.23794039,42.11278935,10291.49473,2242.707459,46.87400055,84.94599915,87.19753265,68.8233777,78.73103941,45.486,112490,
Financing of Hydroelectric Dams in the Bio Bio River (not registered),Financing of Hydroelectric Dams in the Bio Bio River (not registered),Chile,WB Inspection Panel,World Bank,5,Closed Without Results,,,Energy,"Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental",,FALSE,FALSE,11/17/95,11/17/95,11/30/95,closed_without_outcome,,,,not_undertaken,Outside of mandate,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,11/30/95,,20.61780798,21.23578211,20.91167562,,5137.375078,34.35699844,76.97299957,,10.97392788,19.2279727,15.455,756096,
"First Quantum Minerals: Mauritania Copper Mines (""MCM"") project","First Quantum Minerals: Mauritania Copper Mines (""MCM"") project (2011-02-MAU)",Mauritania,COES Corporate Social Responsibility Counsellor,Canadian Office of the Extractive Sector,2011-02-MAU,Closed With Results Outside Process,,,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Labor, Pollution, Water",,FALSE,FALSE,8/14/11,8/14/11,8/14/11,closed_with_outcome,,8/14/11,8/19/11,closed_with_outcome,,8/1/11,1/1/12,closed_without_outcome,,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,2/29/12,34.13181305,38.47967401,79.6210853,0.231396139,,1393.261734,30.43300056,68.80799866,,102.6771593,3.606938974,52.507,1030700,
Flexenclosure,Flexenclosure,Sweden,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_85,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/13,,,not_undertaken,,7/1/13,8/31/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,8/31/13,100,7.482447096,5.579372123,68.91785732,,60283.24522,60.15200043,67.59400177,,,23.56846615,14.064,447420,
Flood Emergency Reconstruction Project,Flood Emergency Reconstruction Project,Pakistan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,8,Closed Without Results,,Project/investment lending,Infrastructure,Other,,FALSE,FALSE,11/21/13,11/21/13,11/22/13,closed_with_outcome,,11/22/13,12/31/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/13,93.6,47.06309672,64.29146493,2.021066833,,1272.441061,22.62199974,80.67199707,55.59498978,12.07659821,235.7209877,64.387,796100,
Floods Emergency Recovery Project (P152018),Floods Emergency Recovery Project (P152018),Serbia,WB Inspection Panel,World Bank,104,Closed Without Results,,Project/investment lending,"Conservation and environmental protection, Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",,FALSE,FALSE,9/8/15,9/8/15,10/31/15,closed_without_outcome,,,,not_undertaken,Outside of mandate,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,10/31/15,99.98274231,39.65812943,18.9158635,31.0999314,,5237.255334,44.0719986,60.47399902,,44.03990595,81.12717814,44.304,88360,
Forest Concession Management and Control Pilot Project,Forest Concession Management and Control Pilot Project,Cambodia,WB Inspection Panel,World Bank,36,Closed With Results,,Project/investment lending,"Forestry, Regulatory Development","Consultation and disclosure, Cultural heritage, Due diligence, Human rights, Indigenous peoples, Livelihoods, Other environmental",,TRUE,TRUE,1/28/05,1/28/05,2/4/05,closed_with_outcome,,2/4/05,3/30/05,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,3/30/05,5/30/06,closed_with_outcome,,5/16/06,6/16/10,closed_with_outcome,,6/30/10,20.5,30.34217086,28.17941779,60.79197825,,474.2238766,76.91300201,86.67299652,,40.58491654,75.17675617,80.826,181040,
Fuzhou Environmental Improvement Project,Fuzhou Environmental Improvement Project,China,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,Jan-09,Closed With Results,,Project/investment lending,"Conservation and environmental protection, Infrastructure","Displacement (physical and/or economic), Livelihoods",,FALSE,FALSE,1/15/09,1/15/09,1/19/09,closed_with_outcome,,1/19/09,2/12/09,closed_with_outcome,,3/23/09,3/23/10,closed_with_outcome,,7/15/09,10/15/10,in_progress,,,,not_undertaken,Case closed in earlier stage,10/15/10,,54.80841877,,21.20713094,,3838.433972,64.37599945,78.2440033,,0.866832925,141.8012441,52.12,9562911,
GAC-01,GAC-01,MENA region,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_66,Closed Without Results,,,Other,Other,,FALSE,FALSE,9/1/12,,,not_undertaken,,9/1/12,10/31/12,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,10/31/12,,,,,,,,,,,,,,
GAL,GAL,Middle East,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_30,Closed Without Results,,,Other,Other,,FALSE,FALSE,5/1/07,,,not_undertaken,,5/1/07,7/31/07,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/07,,,,,,,,,,,,,,
GEF Streetlight,GEF Streetlight,Argentina,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_24,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/06,,,not_undertaken,,7/1/06,8/31/06,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,8/31/06,97.16722107,51.56009632,,10.91391425,,5878.761027,49.93799973,75.65499878,,2.791534343,14.45501317,9.8,2780400,
GMS Mekong Tourism Development Project,GMS Mekong Tourism Development Project,Vietnam,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,Jun-06,Closed Without Results,,Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods",,FALSE,FALSE,12/13/06,12/13/06,1/9/07,closed_with_outcome,,1/9/07,2/28/07,closed_without_outcome,Good faith requirement not met,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,2/28/07,96,32.50233818,,42.85225917,,779.9748933,72.40200043,81.33799744,,21.7677694,274.4367949,72.112,331212,
GMS Rehabilitation of the Railway in Cambodia Project,GMS Rehabilitation of the Railway in Cambodia Project,Cambodia,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_22,Closed Without Results,,Project/investment lending,Infrastructure,Procurement,,FALSE,FALSE,7/25/13,7/25/13,7/26/13,closed_with_outcome,,7/26/13,7/31/13,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank, Outside of mandate",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/13,43.15990829,30.90301382,27.31352319,55.01812826,,1013.665952,81.15200043,88.77400208,,53.79927912,85.10475867,78.585,181040,
Gazela Bridge,Gazela Bridge,Serbia,EIB Complaints Mechanism,European Investment Bank,SG/E/2009/02,Closed Without Results,,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Other",,FALSE,FALSE,3/19/09,3/19/09,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Unknown,5/8/09,6/8/09,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,6/30/09,99.64244843,40.22410245,,30.47793277,,5821.305397,44.19300079,60.48199844,,85.11903128,83.70463069,45.228,88360,
Gazela Bridge Rehabilitation,Gazela Bridge Rehabilitation,Serbia,EIB Complaints Mechanism,European Investment Bank,SG/E/2009/07,Closed Without Results,,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence",,FALSE,TRUE,9/28/09,9/28/09,10/12/09,closed_with_outcome,,10/12/09,12/1/09,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,12/1/09,5/1/10,closed_with_outcome,,5/1/10,5/1/11,closed_with_outcome,,5/1/11,99.64244843,40.22410245,,30.47793277,,5821.305397,44.19300079,60.48199844,,85.11903128,83.70463069,45.228,88360,
Gemax & Lemna,Gemax & Lemna,Serbia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_40,Closed Without Results,,No IFI involvement,Other,Other,,FALSE,FALSE,3/1/09,,,not_undertaken,,3/1/09,3/31/09,closed_without_outcome,"Outside of mandate, Outside of mandate",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,3/31/09,99.64244843,40.22410245,,30.47793277,,5821.305397,44.19300079,60.48199844,,85.11903128,83.70463069,45.228,88360,
Gender Discrimination,Gender Discrimination,Southeast Asia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_21,Closed Without Results,,,Other,Other,,FALSE,FALSE,5/1/06,,,not_undertaken,,5/1/06,5/31/06,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,5/31/06,,,,,,,,,,,,,,
Georgetown Solid Waste Management Program,Georgetown Solid Waste Management Program,Guyana,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-GY-2013-074,Closed Without Results,,,Other,Other,,FALSE,FALSE,12/1/13,12/1/13,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,8.534417069,18.69227081,84.05384811,,3944.178173,39.20299911,74.96900177,,133.5477343,3.851059182,73.6,214970,
Giavoni,Giavoni,Tajikistan,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_51,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/10,,,not_undertaken,,7/1/10,9/30/10,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/10,99.46128082,33.978994,48.98065243,2.929408402,,738.3475227,46.85499954,71.35700226,,56.68031559,54.59867105,73.48,142550,
Gibe III Hydroelectric Power Project,Gibe III Hydroelectric Power Project,Ethiopia,AfDB Independent Review Mechanism,African Development Bank,RQ 2009/1,Closed Without Results,,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Livelihoods, Other environmental, Water",,FALSE,FALSE,3/5/09,3/5/09,3/26/09,closed_with_outcome,,3/26/09,,closed_with_outcome,,10/6/09,4/6/10,closed_without_outcome,,,,not_undertaken,Funding and/or consideration ended,,,not_undertaken,Case closed in earlier stage,1/31/11,,34.985,,12.4368,,379.7566385,77.79799652,90.22100067,,44.76618753,85.416253,83.09,1104300,
Gibe III Hydropower Project,Gibe III Hydropower Project,Ethiopia,AfDB Independent Review Mechanism,African Development Bank,RQ 2009/1b,Closed Without Results,,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Other retaliation (actual or feared)",,FALSE,FALSE,5/5/09,5/5/09,7/22/09,closed_with_outcome,,7/22/09,1/31/11,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/11,,34.985,,12.4368,,379.7566385,77.79799652,90.22100067,,44.76618753,85.416253,83.09,1104300,
Gilgel Gibe 3,Gilgel Gibe 3,Ethiopia,EIB Complaints Mechanism,European Investment Bank,SG/A/2010/01,Closed With Results,,Project/investment lending,Energy,"Consultation and disclosure, Other environmental",,TRUE,TRUE,6/8/10,6/8/10,6/22/10,closed_with_outcome,,6/22/10,,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,2/14/11,5/14/11,closed_with_outcome,,5/9/11,5/9/11,closed_with_outcome,,5/31/11,,35.683,34.07070547,12.296,,341.3099092,77.62599945,90.02100372,,39.39629204,87.70267,82.681,1104300,
Gilgel Gibe III Dam,Gilgel Gibe III Dam,Ethiopia,EIB Complaints Mechanism,European Investment Bank,SG/E/2009/01,Closed Without Results,,No IFI involvement,Energy,"Other, Other environmental",,FALSE,FALSE,3/4/09,3/4/09,,closed_with_outcome,,,7/31/09,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/09,,34.985,,12.4368,,379.7566385,77.79799652,90.22100067,,44.76618753,85.416253,83.09,1104300,
Gipuzkoa Waste Management Project,Gipuzkoa waste Management Project,Spain,EIB Complaints Mechanism,European Investment Bank,SG/E/2010/05,Closed Without Results,,Project/investment lending,Infrastructure,"Due diligence, Other environmental",,FALSE,TRUE,7/6/10,7/6/10,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,closed_with_outcome,,,,not_undertaken,Unknown,3/31/14,,55.08889822,9.687449661,36.49367013,,30736.62785,51.54399872,67.30599976,97.74890137,,93.15193096,21.558,505600,
Giza North Power Project,Giza North Power Project,Egypt,WB Inspection Panel,World Bank,85,Closed With Results Outside Process,,Project/investment lending,Energy,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution, Water",,FALSE,FALSE,2/21/13,2/21/13,4/4/13,closed_with_outcome,,4/4/13,6/10/13,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,6/30/13,,,,,,,,,,,,,,
Global CyberSoft,Global CyberSoft,Vietnam,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_55,Closed Without Results,,,Other,Other,,FALSE,FALSE,4/1/11,,,not_undertaken,,4/1/11,4/30/11,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/11,99,34.72957719,27.20811187,45.97994001,,1515.479925,72.80000305,82.01599884,,40.46752917,288.4401716,68.92,330957,
Globalbix,Globalbix,Brazil,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_96,Closed Without Results,,,Other,Other,,FALSE,FALSE,8/1/07,,,not_undertaken,,8/1/07,9/30/07,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/07,98.125382,32.49981455,,60.23153477,29634.61059,7313.557773,55.61899948,78.61100006,90.0093689,1.61631909,22.8551612,16.552,8515770,
Golden Arrow Resources Corporation: Chinchillas silver project,Golden Arrow Resources Corporation: Chinchillas silver project (2013-06-ARG),Argentina,COES Corporate Social Responsibility Counsellor,Canadian Office of the Extractive Sector,2013-06-ARG,Closed Without Results,,,"Extractives (oil, gas, mining)","Consultation and disclosure, Indigenous peoples",,FALSE,FALSE,7/9/13,7/9/13,7/9/13,closed_with_outcome,,7/9/13,7/12/13,closed_with_outcome,,,,not_undertaken,Mechanism unable to contact complainant,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,9/30/13,99.83712769,54.51804918,13.57720909,10.12376265,,12976.63642,47.79000092,73.9240036,,0.816409526,15.54429804,8.751,2780400,
Governance Promotion Adjustment Loan,Governance Promotion Adjustment Loan,Papua New Guinea,WB Inspection Panel,World Bank,25,Closed Without Results,,Project/investment lending,Regulatory Development,"Other, Other environmental",,FALSE,FALSE,12/6/01,12/6/01,12/7/01,closed_with_outcome,,12/7/01,4/30/02,closed_without_outcome,,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/02,12.8312397,2.230269841,,74.18893256,,539.0031987,70.67700195,73.63800049,,35.49765647,12.62233803,86.818,462840,
Greater Beirut Water Supply Project,Greater Beirut Water Supply Project,Lebanon,WB Inspection Panel,World Bank,71,Closed With Results Outside Process,,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",,FALSE,FALSE,11/4/10,11/4/10,11/10/10,closed_with_outcome,,11/10/10,3/8/11,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Addressed outside process,,,not_undertaken,Case closed in earlier stage,4/30/13,99.94880676,62.56109482,28.43571762,13.38220919,,8858.283977,22.30500031,67.83000183,,102.622903,423.9629521,12.666,10450,
Greater Mekong Subregion Southern Economic Corridor Towns Development Project,Greater Mekong Subregion Southern Economic Corridor Towns Development Project,Cambodia,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,13,Closed Without Results,,Project/investment lending,Infrastructure,Procurement,,FALSE,FALSE,11/20/15,11/20/15,11/23/15,closed_with_outcome,,11/23/15,11/30/15,closed_without_outcome,"Forwarded to other body within bank, Outside of mandate",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,11/30/15,47.56573868,30.90301382,26.16182574,53.57466576,,1163.18977,80.82299805,88.5039978,,43.75924553,87.90865058,77.812,181040,
Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,Cambodia,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,2015/1,Closed Without Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues",,FALSE,FALSE,8/23/15,8/23/15,9/1/15,closed_with_outcome,,9/1/15,11/30/15,closed_without_outcome,Issues previously raised,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,11/30/15,47.56573868,30.90301382,26.16182574,53.57466576,,1163.18977,80.82299805,88.5039978,,43.75924553,87.90865058,77.812,181040,
