Bank,IAM,IAM ID,Year,Country,Project Name,Project Description,Complaint ID,Complaint Description,Filer(s),Filer Type,Environmental Category,Project Company,Project Number,Project Status,IFI Support Type,Financial Institution,Money,Project Loan Amount,Sector,Project Approval Date,Issues,Complaint Status,Date Filed (YYYY-DD-MM),Registration Start Date (YYYY-DD-MM),Registration End Date (YYYY-DD-MM),Registered? (Y/N),"If no registration, why?",Eligibility Start Date (YYYY-DD-MM),Eligibility End Date (YYYY-DD-MM),Eligible (Y/N),"If not eligibile, why?",Dispute Resolution Start Date,Dispute Resolution End Date,"If no DR, why?",Consultation and disclosure Review Start Date,Consultation and disclosure Review End Date,"If no CR, why?",Consultation and disclosure report published? (Y/N),Non-Consultation and disclosure Found (Y/N),Monitoring Start Date,Monitoring End Date,Date Closed,Project Hyperlink,Complaint Hyperlink,Documents
IFC,CAO,21,2014,Papua New Guinea,AES PNG-01/Roku Village,"Avenell Engineering Systems Ltd. (AES or Company) was established in 1997 as an electrical engineering business in East New Britain Province of Papua New Guinea (PNG) specializing in power generation supply and assembly. The Company has subsequently diversified its interests into plant and machinery hire, civil, construction and port development and operations. IFC committed a US$4 million loan to the company to fund AESs project of a capital expenditure program which includes the acquisition of plant and equipment for port operations and civil, its construction activities as well as completion of the wharf construction. The IFC loan was never disbursed and has been cancelled.",228,,Kuriu Clan of Roku Village,,B,Avenell Engineering Systems Ltd,32750,,,IFC,4000000,US$4 million,Infrastructure,,Displacement (physical and/or economic); Due diligence,Closed,29-Sep-14,,,,,29-Sep-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=228,
IFC,CAO,21,2014,Papua New Guinea,AES PNG-01/Roku Village,"Avenell Engineering Systems Ltd. (AES or Company) was established in 1997 as an electrical engineering business in East New Britain Province of Papua New Guinea (PNG) specializing in power generation supply and assembly. The Company has subsequently diversified its interests into plant and machinery hire, civil, construction and port development and operations. IFC committed a US$4 million loan to the company to fund AESs project of a capital expenditure program which includes the acquisition of plant and equipment for port operations and civil, its construction activities as well as completion of the wharf construction. The IFC loan was never disbursed and has been cancelled.",228,,Kuriu Clan of Roku Village,,B,Avenell Engineering Systems Ltd,32750,,,IFC,0,,Infrastructure,,Displacement (physical and/or economic); Due diligence,Closed,29-Sep-14,,,29-Sep-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=228,,,
IFC,CAO,21,2017,Guinea,Nedbank,"At the time the complaint was filed IFC had an active project with Nedbank, which consists of a subordinated Tier II qualifying loan or instrument. IFC indicates that the project aims to facilitate Nedbank's longer-tenor lending programs for: 1) black Economic Empowerment financing that will result in significant ownership transfer to previously-disadvantaged individuals and communities; 2) development and mortgage financing for the currently under-served affordable housing segment; and, 3) cross-border corporate lending across Africa, including capital intensive projects that support sustainable economic growth.",1259,,Local community members,,FI,Nedbank Group Ltd,26014,,,IFC,139000000,Debt up to ZAR1billion ($139 million equivalent),Global Financial Markets,,Displacement (physical and/or economic); Livelihoods,Active,27-Apr-17,,,,,27-Apr-17,2017-31-06,Yes,,1/4/18,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1259,http://www.cao-ombudsman.org/cases/document-links/links-1259.aspx
AfDB,IRM,28,2017,Senegal,Blaise Diagne International Airport Project,Construction of the Airport International Blaise Diagne (AIBD),RQ2017/1,"The complainants allege that they have been adversely affected by the construction of the AIBD. They believe the compensation they received from the Government for their lands which were acquired by this project was not commensurable with what they should have received under the nataional laws and the Involuntary Resettlement Policies (2003) of the African Development Bank Group (AfDB) and that of the World bank (OP4.12), which are both applicable to the project. ",Expropriated of the Ndiass New Blaise DIAGNE Airport Site,Individual,A,,,,,,0,,Infrastructure,,Displacement (physical and/or economic); Livelihoods,Active,2017-22-09,2017-22-09,2017-14-12,2017-14-12,,,,,,,,,,,,,,,,https://www.afdb.org/en/independent-review-mechanism/management-of-complaints/registered-requests/rq20171-senegal/,"https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Notice_of_registration_-_Blaise_Diagne_Int_Airport.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Register_of_Request-_AIBD_project.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/LIST_OF_POLICIES-EN-CRMU.pdf",,
AfDB,IRM,28,2017,Senegal,Blaise Diagne International Airport Project,Construction of the Airport International Blaise Diagne (AIBD),RQ2017/1,"The complainants allege that they have been adversely affected by the construction of the AIBD. They believe the compensation they received from the Government for their lands which were acquired by this project was not commensurable with what they should have received under the nataional laws and the Involuntary Resettlement Policies (2003) of the African Development Bank Group (AfDB) and that of the World bank (OP4.12), which are both applicable to the project. ",Expropriated of the Ndiass New Blaise DIAGNE Airport Site,Individual,A,,,,,,0,,Infrastructure,,Displacement (physical and/or economic); Livelihoods,Active,2017-22-09,2017-22-09,2017-14-12,,,2017-14-12,,,,,,,,,,,,,,,,https://www.afdb.org/en/independent-review-mechanism/management-of-complaints/registered-requests/rq20171-senegal/,"https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Notice_of_registration_-_Blaise_Diagne_Int_Airport.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Register_of_Request-_AIBD_project.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/LIST_OF_POLICIES-EN-CRMU.pdf"
ADB,SPF,25,2018,Bangladesh,SASEC Second Bangladesh-India Electrical Grid Interconnection Project,"The Asian Development Bank is working with Bangladesh and India to increase the ability of the two countries to trade electricity. The project is allowing Bangladesh to better meet sharply rising power demand while assisting India in exporting excess electricity. This includes upgrading the power transmission capacity of the existing grid interconnection between the two countries from 500 megawatts to 1,000 megawatts.",18-Mar,,"2 residents of Charmirakami, Joynagar Wapda Gate, Ishwardi Pabna, Bangladesh",Individual,B,,44192-016,,"Loan
",,85000000,USD 85 million,Energy,,Displacement (physical and/or economic); Livelihoods; Other community health and safety issues,Closed without Output,2018-22-02,2018-22-02,2018-22-02,,,2018-22-02,2018-21-03,no,Unknown,,,,,,,,,,,2018-21-03,https://www.adb.org/projects/44192-016/main,,
IFC,CAO,21,2017,Myanmar,Myanma Awaba Group Company Ltd.-01/Myanmar,"IFC has an active project with Myanma Awba Group Company Ltd., a group of companies in Myanmar focused on development in the agricultural sector. IFC is committing a USD$ 10 million Convertible C Loan for the expansion of Awbas core business, including the construction of additional fertilizer warehouse storage facilities and fertilizer distribution stations, the acquisition of a second chemical license for Myanma Awba Group in order to construct a new agro- chemical formulation plant in an industrial zone  next to the existing Government Hmawbi pesticide factory,  equipment  (bottling  and  packaging  machinery),  warehouse  storage facilities and working capital (ESRS).",1267,,Local protesting group to the Myanma Awba Chemical Pharmaceutical Factory,Local Community Organization,B,Myanma Awaba Group Co. Ltd.,35880,,,IFC,10000000,USD$ 10 million Convertible C Loan,Agribusiness,,Displacement (physical and/or economic); Livelihoods; Other community health and safety issues; Consultation and disclosure,Active,4-Oct-17,,,,,4-Oct-17,2017-31-11,Yes,,2017-31-11,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1267,
IFC,CAO,21,2011,Uganda,Agri-Vie Fund,"The IFC-supported Agri-Vie Agribusiness Fund is a private equity fund with the purpose of making equity investments in agribusiness companies in Southern and Eastern Africa. In its current portfolio, Agri-Vie has invested in New Forests Company (NFC), an African forestry company planting new, and managing existing, Biodiversity in East Africa. Operational in Uganda since 2005, NFC operates three pine and eucalyptus plantations - in the Mubende, Kiboga and Bugiri districts respectively.",181,,"Affected community representatives, Oxfam  International, Oxfam Great Britain, and Uganda Land Alliance",,FI,Agri-Vie Fund PCC,27674,,,IFC,7000000,US$7m equity investment,Agribusiness,,Displacement (physical and/or economic); Other community health and safety issues; Livelihoods; Property damage,Closed,20-Dec-11,,,,,20-Dec-11,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=181,http://www.cao-ombudsman.org/cases/document-links/links-181.aspx
IFC,CAO,21,2011,Uganda,Agri-Vie Fund,"The IFC-supported Agri-Vie Agribusiness Fund is a private equity fund with the purpose of making equity investments in agribusiness companies in Southern and Eastern Africa. In its current portfolio, Agri-Vie has invested in New Forests Company (NFC), an African forestry company planting new, and managing existing, Biodiversity in East Africa. Operational in Uganda since 2005, NFC operates three pine and eucalyptus plantations - in the Mubende, Kiboga and Bugiri districts respectively.",181,,"Affected community representatives, Oxfam  International, Oxfam Great Britain, and Uganda Land Alliance",,FI,Agri-Vie Fund PCC,27674,,,IFC,0,,Agribusiness,,Displacement (physical and/or economic); Other community health and safety issues; Livelihoods; Property damage,Closed,20-Dec-11,,,20-Dec-11,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=181,http://www.cao-ombudsman.org/cases/document-links/links-181.aspx,,
EIB,CM,29,2017,,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/32/PR,Alleged negative economic and environmental impacts,Confidential,Unknown,,,,,,,,,Extractives,,Displacement (physical and/or economic); Other environmental ,Closed without Output,7/20/17,7/20/17,7/31/17,,,8/1/17,9/14/17,No,Forwarded to other body within bank; Mechanism forwarded complaint to management,,,,,,,,No,,,9/14/17,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2017-32-pr-trans-adriatic-pipeline.htm,
EIB,CM,29,2017,Italy,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/39/PR,Alleged militarization of the region and negative economic and environmental impacts,Confidential,Unknown,,,,,,,,,Extractives,,Displacement (physical and/or economic); Other environmental; Violence against the community (by gov't and/or company); Other retaliation (actual or feared),Active,11/15/17,11/15/17,11/16/17,,,,,,,,,,,,,,,,,,,http://www.eib.org/en/about/accountability/complaints/cases/trans-adriatic-pipeline2.htm,
IFC,CAO,21,2011,Uganda,Agri-Vie Fund,"The IFC-supported Agri-Vie Agribusiness Fund is a private equity fund with investments in agribusiness companies in Southern and Eastern Africa. In its current portfolio, Agri-Vie has invested in New Forests Company (NFC), a UK-based forestry company operating established and growing timber plantations in Eastern Africa. Operational in Uganda since 2005, NFC operates three pine and eucalyptus plantations in the Mubende, Kiboga and Bugiri districts respectively.",180,,"Affected community representatives, Oxfam  International, Oxfam Great Britain, and Uganda Land Alliance",,FI,Agri-Vie Fund PCC,27674,,,IFC,7000000,US$7m equity investment,Agribusiness,,Displacement (physical and/or economic); Property damage; Livelihoods; Due diligence,Open - Ombudsman,20-Dec-11,,,,,20-Dec-11,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=180,http://www.cao-ombudsman.org/cases/document-links/links-180.aspx
IFC,CAO,21,2011,Uganda,Agri-Vie Fund,"The IFC-supported Agri-Vie Agribusiness Fund is a private equity fund with investments in agribusiness companies in Southern and Eastern Africa. In its current portfolio, Agri-Vie has invested in New Forests Company (NFC), a UK-based forestry company operating established and growing timber plantations in Eastern Africa. Operational in Uganda since 2005, NFC operates three pine and eucalyptus plantations in the Mubende, Kiboga and Bugiri districts respectively.",180,,"Affected community representatives, Oxfam  International, Oxfam Great Britain, and Uganda Land Alliance",,FI,Agri-Vie Fund PCC,27674,,,IFC,0,,Agribusiness,,Displacement (physical and/or economic); Property damage; Livelihoods; Due diligence,Open - Ombudsman,20-Dec-11,,,20-Dec-11,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=180,http://www.cao-ombudsman.org/cases/document-links/links-180.aspx,,
EBRD,PCM,26,2015,Mongolia,Altain Khuder - Debt,The EBRD has signed a debt financing to Altain Khuder LLC (‘the Company’ or ‘AK’) for the development of its Tayan Nuur iron ore mine in Mongolia.,2015/01,,"7 individuals affected by the Tayan Nuur iron ore mining project in Tseel soum, Mongolia",,B,,43804,Repaying,,,91000000,Loan to JSC Dariali Energy: 80 million,Extractives,,Displacement (physical and/or economic); Labor; Pollution; Other community health and safety issues; Water,,,,,,,,,,,,,,,,,,,,,,,,
EBRD,PCM,26,2015,Mongolia,Altain Khuder - Debt,The EBRD has signed a debt financing to Altain Khuder LLC (‘the Company’ or ‘AK’) for the development of its Tayan Nuur iron ore mine in Mongolia.,2015/01,,"7 individuals affected by the Tayan Nuur iron ore mining project in Tseel soum, Mongolia",,B,,43804,Repaying,,,91000000,Loan to JSC Dariali Energy: 80 million,Extractives,,Displacement (physical and/or economic); Labor; Pollution; Other community health and safety issues; Water,,,,,,,,,,,,,,,,,,,,,,,,
IFC,CAO,21,2005,Guatemala,Marlin-01/Sipacapa,"The Marlin open-pit gold and silver mine is both owned and operated by Montana Exploradora de Guatemala, S.A., a subsidiary of Glamis Gold Ltd.",95,,Colectivo Madre Selva,,A,Montana Exploradora de Guatemala S.A.,21766,,,IFC,45000000,$45 million,"Oil, Gas, Mining, & Chemicals",,Displacement (physical and/or economic); Labor; Other community health and safety issues; Violence against the community (by gov't and/or company),Closed,1-Jan-05,,,,,1-Jan-05,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=95,http://www.cao-ombudsman.org/cases/document-links/links-95.aspx
IFC,CAO,21,2005,Guatemala,Marlin-01/Sipacapa,"The Marlin open-pit gold and silver mine is both owned and operated by Montana Exploradora de Guatemala, S.A., a subsidiary of Glamis Gold Ltd.",95,,Colectivo Madre Selva,,A,Montana Exploradora de Guatemala S.A.,21766,,,IFC,0,,,,Displacement (physical and/or economic); Labor; Other community health and safety issues; Violence against the community (by gov't and/or company),Closed,1-Jan-05,,,1-Jan-05,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=95,http://www.cao-ombudsman.org/cases/document-links/links-95.aspx,,
IFC,CAO,21,2017,Myanmar,Myanma Awaba Group Company Ltd.,"IFC has an active project with Myanma Awba Group Company Ltd., a group of companies in Myanmar focused on development in the agricultural sector. IFC is committing a USD$ 10 million Convertible C Loan for the expansion of Awbas core business, including the construction of additional fertilizer warehouse storage facilities and fertilizer distribution stations, the acquisition of a second chemical license for Myanma Awba Group in order to construct a new agro- chemical formulation plant in an industrial zone  next to the existing Government Hmawbi pesticide factory,  equipment  (bottling  and  packaging  machinery),  warehouse  storage facilities and working capital (ESRS).",1267,,Local protesting group to the Myanma Awba Chemical Pharmaceutical Factory,,B,Myanma Awaba Group Co. Ltd.,35880,,,IFC,0,,,,Displacement (physical and/or economic); Labor; Livelihoods,Open - Ombudsman,4-Oct-17,,,4-Oct-17,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1267,,,
IFC,CAO,21,2004,Brazil,Amaggi Expansion,"The Amaggi Expansion Project was a soybean investment sponsored by a Brazilian company, Grupo Andr Maggi Participaoes Limitada and located in the Brazilian state of Mato Grosso. At the time the project loan was approved, Amaggi was an existing client of IFC (having received a prior loan of US$30 million in September 2002). This project attracted considerable criticism from various community organizations in relation to the issue of categorization of adverse environmental impacts. Criticism of IFCs categorization of the project primarily rested on the indirect impacts of Amaggis third-party soybean suppliers on deforestation in Mato Grosso.",91,,At request of IFC Executive Vice President,,B,Amaggi Exporta夦_藤ao e Importa夦_藤ao Limitada,22561,,,IFC,30000000,$30 million (A loan),Agribusiness,,Displacement (physical and/or economic); Indigenous peoples; Cultural heritage; Livelihoods,Closed,1-Nov-04,,,,,1-Nov-04,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=91,http://www.cao-ombudsman.org/cases/document-links/links-91.aspx
IFC,CAO,21,2004,Brazil,Amaggi Expansion,"The Amaggi Expansion Project was a soybean investment sponsored by a Brazilian company, Grupo Andr Maggi Participaoes Limitada and located in the Brazilian state of Mato Grosso. At the time the project loan was approved, Amaggi was an existing client of IFC (having received a prior loan of US$30 million in September 2002). This project attracted considerable criticism from various community organizations in relation to the issue of categorization of adverse environmental impacts. Criticism of IFCs categorization of the project primarily rested on the indirect impacts of Amaggis third-party soybean suppliers on deforestation in Mato Grosso.",91,,At request of IFC Executive Vice President,,B,Amaggi Exporta夦_藤ao e Importa夦_藤ao Limitada,22561,,,IFC,0,,Agribusiness,,Displacement (physical and/or economic); Indigenous peoples; Cultural heritage; Livelihoods,Closed,1-Nov-04,,,1-Nov-04,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=91,http://www.cao-ombudsman.org/cases/document-links/links-91.aspx,,
EIB,CM,29,2011,Spain,Infrastructuras de la Nueva Dársena de Cartagena,,SG/E/2011/15/INA,Concerns about the startegic environmental impact evaluation studies,Ecologistas Region Murcia en Accion,Local CSO,,,,,,,,,,,Displacement (physical and/or economic); Labor,Closed,11/4/11,11/4/11,,,,,,,,,,,,,,,,,11/17/11,,,http://www.eib.org/en/about/accountability/complaints/cases/infrastructuras-de-la-nueva-darsena-de-cartagena.htm,
EBRD,PCM,26,2013,Serbia,EPS POWER II,Proposed modernisation of equipment installed at the Tamnava West lignite mine and upgrade of the Power System Control and internal communications. Both components identified as priority investments by EPS.,2013/02,,NGO Cekor,,A,,27005,Disbursing,,,456000000,Loan to Oyu Tolgoi LLC (OT): up to 400 million.,Energy,,Displacement (physical and/or economic); Procurement; Labor; Human rights,,,,,,,,,,,,,,,,,,,,,,,,
EBRD,PCM,26,2013,Serbia,EPS POWER II,Proposed modernisation of equipment installed at the Tamnava West lignite mine and upgrade of the Power System Control and internal communications. Both components identified as priority investments by EPS.,2013/02,,NGO Cekor,,A,,27005,Disbursing,,,456000000,Loan to Oyu Tolgoi LLC (OT): up to 400 million.,Energy,,Displacement (physical and/or economic); Procurement; Labor; Human rights,,,,,,,,,,,,,,,,,,,,,,,,
IFC,CAO,21,2014,Honduras,Dinant,"IFC provided Corporacin Dinant -a vertically-integrated palm oil and food company in Honduras, with a corporate loan to enable it to develop young palm oil plantations, increase production capacity in its snacks and edible oils divisions, expand and upgrade its distribution network, and build a biogas facility to generate electricity for own and third-party consumption. The total project cost was estimated at $75 million, and IFCs proposed investment was a $30 million loan.   Dinant is headquartered in Tegucigalpa, Honduras. It owns palm oil plantations across the Aguan and Lean Valleys and operates two palm oil mills and an edible oil refinery near the cities of Tocoa and La Ceiba. The company also operates a port storage facility at Puerto Castilla; owns vegetable greenhouses and a food processing plant in the Comayagua Valley; and has a snacks plant in San Pedro Sula.",223,,Movimiento Campesino Refundación Gregorio Chávez,,B,Corporación Dinant,27250,,,IFC,30000000,US$30m (A loan),Agribusiness,,Displacement (physical and/or economic); Procurement; Other community health and safety issues,Open - Consultation and disclosure,25-Jul-14,,,,,25-Jul-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=223,http://www.cao-ombudsman.org/cases/document-links/links-224.aspx
IFC,CAO,21,2012,Honduras,Dinant,"IFC provided Corporacin Dinant -a vertically-integrated palm oil and food company in Honduras, with a corporate loan to enable it to develop young palm oil plantations, increase production capacity in its snacks and edible oils divisions, expand and upgrade its distribution network, and build a biogas facility to generate electricity for own and third-party consumption. The total project cost was estimated at $75 million, and IFCs proposed investment was a $30 million loan.   Dinant is headquartered in Tegucigalpa, Honduras. It owns palm oil plantations across the Aguan and Lean Valleys and operates two palm oil mills and an edible oil refinery near the cities of Tocoa and La Ceiba. The company also operates a port storage facility at Puerto Castilla; owns vegetable greenhouses and a food processing plant in the Comayagua Valley; and has a snacks plant in San Pedro Sula.",188,,CAO Vice President Request,,B,Corporación Dinant,27250,,,IFC,30000000,US$30m (A loan),Agribusiness,,Displacement (physical and/or economic); Procurement; Other community health and safety issues,Open - Consultation and disclosure,17-Apr-12,,,,,17-Apr-12,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=188,http://www.cao-ombudsman.org/cases/document-links/links-188.aspx
IFC,CAO,21,2014,Honduras,Dinant,"IFC provided Corporacin Dinant -a vertically-integrated palm oil and food company in Honduras, with a corporate loan to enable it to develop young palm oil plantations, increase production capacity in its snacks and edible oils divisions, expand and upgrade its distribution network, and build a biogas facility to generate electricity for own and third-party consumption. The total project cost was estimated at $75 million, and IFCs proposed investment was a $30 million loan.   Dinant is headquartered in Tegucigalpa, Honduras. It owns palm oil plantations across the Aguan and Lean Valleys and operates two palm oil mills and an edible oil refinery near the cities of Tocoa and La Ceiba. The company also operates a port storage facility at Puerto Castilla; owns vegetable greenhouses and a food processing plant in the Comayagua Valley; and has a snacks plant in San Pedro Sula.",223,,Movimiento Campesino Refundación Gregorio Chávez,,B,Corporación Dinant,27250,,,IFC,0,,,,Displacement (physical and/or economic); Procurement; Other community health and safety issues,Open - Consultation and disclosure,25-Jul-14,,,25-Jul-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=223,http://www.cao-ombudsman.org/cases/document-links/links-224.aspx,,
IFC,CAO,21,2012,Honduras,Dinant,"IFC provided Corporacin Dinant -a vertically-integrated palm oil and food company in Honduras, with a corporate loan to enable it to develop young palm oil plantations, increase production capacity in its snacks and edible oils divisions, expand and upgrade its distribution network, and build a biogas facility to generate electricity for own and third-party consumption. The total project cost was estimated at $75 million, and IFCs proposed investment was a $30 million loan.   Dinant is headquartered in Tegucigalpa, Honduras. It owns palm oil plantations across the Aguan and Lean Valleys and operates two palm oil mills and an edible oil refinery near the cities of Tocoa and La Ceiba. The company also operates a port storage facility at Puerto Castilla; owns vegetable greenhouses and a food processing plant in the Comayagua Valley; and has a snacks plant in San Pedro Sula.",188,,CAO Vice President Request,,B,Corporación Dinant,27250,,,IFC,0,,,,Displacement (physical and/or economic); Procurement; Other community health and safety issues,Open - Consultation and disclosure,17-Apr-12,,,17-Apr-12,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=188,http://www.cao-ombudsman.org/cases/document-links/links-188.aspx,,
IFC,CAO,21,2018,Togo,Togo LCT,"IFC has an active project with Lom Container Terminal S.A. (LCT), a locally incorporated company that was awarded a 35-year concession by the Government of Togo, with an optional 10-year extension, to develop, construct and operate a greenfield container terminal within the Port of Lom, in Togo. Upon completion, the Terminal is expected to have an estimated handling capacity of up to 1.5 million twenty-foot equivalent unit (TEU) moves per annum. Further expansion of the Terminal, south of the newly constructed port basin is envisaged in the longer term. LCTs Port Project is estimated to cost 350 million. IFC has provided a loan valued at $116.21 million to develop a new transshipment container terminal. IFC is also expected to help mobilize an additional up to 200 million from other lenders. The project is classified as Category A.",1269,,Mouvement Martin Luther King - La voix des sans voix,,A,Société Lomé Container Terminal,29197,,,IFC,116000000,$116.21 million,Infrastructure,,Displacement (physical and/or economic); Livelihoods; Labor,Open - Ombudsman,16-Feb-18,,,,,16-Feb-18,,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1269
IFC,CAO,21,2018,Togo,Togo LCT,"IFC has an active project with Lom Container Terminal S.A. (LCT), a locally incorporated company that was awarded a 35-year concession by the Government of Togo, with an optional 10-year extension, to develop, construct and operate a greenfield container terminal within the Port of Lom, in Togo. Upon completion, the Terminal is expected to have an estimated handling capacity of up to 1.5 million twenty-foot equivalent unit (TEU) moves per annum. Further expansion of the Terminal, south of the newly constructed port basin is envisaged in the longer term. LCTs Port Project is estimated to cost 350 million. IFC has provided a loan valued at $116.21 million to develop a new transshipment container terminal. IFC is also expected to help mobilize an additional up to 200 million from other lenders. The project is classified as Category A.",1269,,Mouvement Martin Luther King - La voix des sans voix,,A,Société Lomé Container Terminal,29197,,,IFC,0,,,,Displacement (physical and/or economic); Livelihoods; Labor,Open - Ombudsman,16-Feb-18,,,16-Feb-18,,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1269,,
IFC,CAO,21,2003,Bolivia,Comsur V,"The Don Mario mine is an operation of Empresa Minera Paititi, S.A., a subsidiary of Orvana Minerals Corporation, in which Compania Minera del Sur (COMSUR) holds shares.",125,,Coordinadora de Pueblos Etnicos de Santa Cruz,,B,Sinchi Wayra S.A.,9670,,,IFC,10000000,$10 million,"Oil, Gas, Mining, & Chemicals",,Displacement (physical and/or economic); Other community health and safety issues; Due diligence,Closed,1-Jun-03,,,,,1-Jun-03,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=125,http://www.cao-ombudsman.org/cases/document-links/links-125.aspx
IFC,CAO,21,2003,Bolivia,Comsur V,"The Don Mario mine is an operation of Empresa Minera Paititi, S.A., a subsidiary of Orvana Minerals Corporation, in which Compania Minera del Sur (COMSUR) holds shares.",125,,Coordinadora de Pueblos Etnicos de Santa Cruz,,B,Sinchi Wayra S.A.,9670,,,IFC,0,,,,Displacement (physical and/or economic); Other community health and safety issues; Due diligence,Closed,1-Jun-03,,,1-Jun-03,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=125,http://www.cao-ombudsman.org/cases/document-links/links-125.aspx,,
IFC,CAO,21,2014,Guatemala,Tata Tea,"IFC has an active project (#32763) with Terminal de Contenedores Quetzal (TCQ) to construct and operate a new dedicated container terminal within Puerto Quetzal. The Terminal will operate under a 25-year Usufruct Agreement on leased land owned by Empresa Portuaria Quetzal, the state owned company that owns and administers Puerto Quetzal. The Project is estimated to cost approximately US$177 million. IFC has approved a US$35 million A loan and a $9.7 million equity investment.",219,,Sindicato de Trabajadores Organizados del Puerto Quetzal (STOPQ),,B,Terminal de Contenedores Quetzal S.A. (TCQ),32763,,,IFC,45000000,A Loan of $35 million and a $9.7 million equity in,Infrastructure,,Displacement (physical and/or economic); Water; Pollution; Pollution,Closed,20-Mar-14,,,,,20-Mar-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=219,http://www.cao-ombudsman.org/cases/document-links/links-219.aspx
IFC,CAO,21,2014,Guatemala,Tata Tea,"IFC has an active project (#32763) with Terminal de Contenedores Quetzal (TCQ) to construct and operate a new dedicated container terminal within Puerto Quetzal. The Terminal will operate under a 25-year Usufruct Agreement on leased land owned by Empresa Portuaria Quetzal, the state owned company that owns and administers Puerto Quetzal. The Project is estimated to cost approximately US$177 million. IFC has approved a US$35 million A loan and a $9.7 million equity investment.",219,,Sindicato de Trabajadores Organizados del Puerto Quetzal (STOPQ),,B,Terminal de Contenedores Quetzal S.A. (TCQ),32763,,,IFC,0,,,,Displacement (physical and/or economic); Water; Pollution; Pollution,Closed,20-Mar-14,,,20-Mar-14,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=219,http://www.cao-ombudsman.org/cases/document-links/links-219.aspx,,
